id,disciplina,assunto,texto,A,B,C,D,E,gabarito,dificuldade,modelos
12,Matematica,Funcoes,Se f(x) = 2^x e g(x) = x + 1 entao f(g(2)) e igual a:,8,4,16,6,32,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
13,Matematica,Geometria Plana,A area de um quadrado de lado 6 cm e:,36 cm²,24 cm²,12 cm²,48 cm²,18 cm²,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
14,Matematica,Geometria Plana,O perimetro de um retangulo com lados 4 cm e 7 cm e:,22 cm,28 cm,11 cm,14 cm,18 cm,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
15,Matematica,Geometria Plana,A area de um triangulo com base 10 cm e altura 6 cm e:,30 cm²,60 cm²,16 cm²,20 cm²,15 cm²,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
16,Matematica,Geometria Plana,A area de um circulo com raio 5 cm e igual a (use π):,25π cm²,10π cm²,5π cm²,50π cm²,100π cm²,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
17,Matematica,Geometria Plana,Dois angulos sao suplementares e um mede 70°. O outro mede:,110°,20°,120°,160°,90°,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
18,Matematica,Geometria Plana,No triangulo retangulo a hipotenusa mede 13 cm e um cateto mede 5 cm. O outro cateto mede:,12 cm,8 cm,10 cm,11 cm,6 cm,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
19,Matematica,Geometria Plana,A soma dos angulos internos de um hexagono regular e:,720°,540°,360°,900°,1080°,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
20,Matematica,Geometria Plana,A diagonal de um quadrado de lado 4 cm mede:,4√2 cm,4 cm,8 cm,2√2 cm,√2 cm,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
21,Matematica,Geometria Plana,Num triangulo isosceles os angulos da base medem 65° cada. O angulo do vertice mede:,50°,70°,55°,130°,115°,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
22,Matematica,Geometria Plana,A area de um losango com diagonais 6 cm e 8 cm e:,24 cm²,48 cm²,12 cm²,36 cm²,28 cm²,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
23,Matematica,Geometria Espacial,O volume de um cubo com aresta de 4 cm e:,64 cm³,16 cm³,48 cm³,32 cm³,96 cm³,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
24,Matematica,Geometria Espacial,A area total de um cubo com aresta de 3 cm e:,54 cm²,36 cm²,27 cm²,18 cm²,72 cm²,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
25,Matematica,Geometria Espacial,O volume de um paralelepipedo com dimensoes 2 cm x 4 cm x 5 cm e:,40 cm³,22 cm³,11 cm³,80 cm³,20 cm³,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
26,Matematica,Geometria Espacial,O volume de um cilindro com raio 3 cm e altura 5 cm e:,45π cm³,15π cm³,30π cm³,90π cm³,9π cm³,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
27,Matematica,Geometria Espacial,O volume de uma esfera com raio 3 cm e:,36π cm³,9π cm³,4π cm³,108π cm³,27π cm³,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
28,Matematica,Geometria Espacial,Uma piramide quadrangular tem base de lado 6 cm e altura 4 cm. Seu volume e:,48 cm³,144 cm³,72 cm³,96 cm³,24 cm³,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
29,Matematica,Trigonometria,O seno de 30° e igual a:,1/2,√3/2,1,√2/2,0,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
30,Matematica,Trigonometria,O cosseno de 60° e igual a:,1/2,√3/2,1,0,√2/2,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
31,Matematica,Trigonometria,A tangente de 45° e igual a:,1,0,√3,√2,1/2,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
32,Matematica,Trigonometria,Em um triangulo retangulo o angulo agudo e 30° e a hipotenusa mede 10 cm. O cateto oposto mede:,5 cm,8 cm,10 cm,3 cm,7 cm,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
33,Matematica,Trigonometria,A identidade trigonometrica sen²(x) + cos²(x) e sempre igual a:,1,0,2,sen(2x),cos(2x),A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
34,Matematica,Trigonometria,Se sen(x) = 3/5 e x esta no primeiro quadrante entao cos(x) e:,4/5,3/4,5/3,3/5,5/4,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
35,Matematica,Progressoes,Na PA (2; 5; 8; 11; ...) a razao e:,3,2,4,5,1,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
36,Matematica,Progressoes,O decimo termo da PA (1; 4; 7; ...) e:,28,25,31,40,19,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
37,Matematica,Progressoes,A soma dos 10 primeiros termos impares positivos (1; 3; 5; ...; 19) e:,100,50,55,45,90,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
38,Matematica,Progressoes,Na PG (2; 6; 18; 54; ...) a razao e:,3,2,4,6,9,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
39,Matematica,Progressoes,O 5° termo da PG (2; 6; 18; ...) e:,162,54,486,324,108,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
40,Matematica,Progressoes,A soma dos infinitos termos da PG (1; 1/2; 1/4; ...) e:,2,1,4,3,infinita,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
41,Matematica,Probabilidade,Em uma urna com 4 bolas vermelhas e 6 azuis a probabilidade de sortear uma vermelha e:,2/5,3/5,1/4,4/10,1/10,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
42,Matematica,Probabilidade,A media aritmetica dos numeros 4; 6; 8; 10; 12 e:,8,7,9,10,6,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
43,Matematica,Probabilidade,A mediana do conjunto {3; 5; 7; 9; 11} e:,7,9,5,8,6,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
44,Matematica,Probabilidade,Quantos anagramas tem a palavra CASA (com letras repetidas)?,12,24,6,4,8,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
45,Matematica,Probabilidade,De um grupo de 6 pessoas quantas combinacoes de 2 podem ser formadas?,15,30,6,12,10,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
46,Matematica,Algebra,A solucao da equacao 3x + 6 = 21 e:,5,3,7,9,15,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
47,Matematica,Algebra,A solucao do sistema { x + y = 10 ; x - y = 4 } e:,x=7 e y=3,x=4 e y=6,x=6 e y=4,x=3 e y=7,x=8 e y=2,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
48,Matematica,Algebra,A inequacao 4x - 8 > 0 tem solucao:,x > 2,x < 2,x > -2,x < -2,x ≥ 2,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
49,Matematica,Algebra,Se 3^(x+1) = 81 entao x e igual a:,3,4,2,9,27,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
50,Matematica,Algebra,O valor de 5! (cinco fatorial) e:,120,60,24,720,20,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
51,Matematica,Matrizes,O determinante da matriz [ [2; 3]; [1; 4] ] e:,5,8,11,-5,14,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
52,Matematica,Matrizes,A soma de todos os elementos da matriz [ [1; 2]; [3; 4] ] e:,10,8,12,7,5,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
53,Matematica,Financeira,Um capital de R$ 1000 aplicado a uma taxa de 10% ao ano por 2 anos em juros simples rende:,R$ 200,R$ 100,R$ 210,R$ 1200,R$ 300,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
54,Matematica,Financeira,Um produto custava R$ 200 e sofreu um aumento de 15%. O novo preco e:,R$ 230,R$ 215,R$ 220,R$ 240,R$ 300,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
55,Matematica,Financeira,Se um produto custava R$ 500 e agora custa R$ 400 o percentual de desconto e:,20%,25%,10%,15%,80%,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
56,Matematica,Numeros,O resultado de 2³ × 2⁴ e:,128,64,32,256,512,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
57,Matematica,Numeros,O MMC de 6 e 9 e:,18,3,54,9,6,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
58,Portugues,Interpretacao,A conjuncao 'embora' em 'Embora estivesse cansado ele continuou trabalhando' indica relacao de:,Concessao,Causalidade,Condicao,Finalidade,Temporalidade,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
59,Portugues,Interpretacao,A figura de linguagem presente em 'A floresta e o pulmao do mundo' e:,Metafora,Comparacao,Hiperbole,Metonimia,Prosopopeia,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
60,Portugues,Interpretacao,O enunciado 'Vende-se apartamentos neste bairro' esta na voz:,Passiva sintetica,Ativa,Passiva analitica,Reflexiva,Reciproca,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
61,Portugues,Interpretacao,A funcao da linguagem predominante em um texto publicitario e:,Apelativa,Referencial,Poetica,Fatica,Metalinguistica,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
62,Portugues,Interpretacao,A palavra 'manga' (fruta) e 'manga' (de camisa) ilustra o fenomeno de:,Homonimia,Polissemia,Sinonimia,Antonimia,Paronimia,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
63,Portugues,Interpretacao,O trecho 'Mil vezes te disse para nao fazer isso' apresenta a figura de linguagem:,Hiperbole,Antitese,Eufemismo,Metafora,Metonimia,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
64,Portugues,Interpretacao,Em 'Os alunos que estudam diariamente obtem melhores resultados' a oracao 'que estudam diariamente' e:,Adjetiva restritiva,Adjetiva explicativa,Substantiva,Adverbial,Coordenada,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
65,Portugues,Interpretacao,O pronome relativo 'cujo' em 'A professora cujo metodo e inovador foi homenageada' indica:,Posse,Lugar,Tempo,Modo,Causa,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
66,Portugues,Interpretacao,Em qual alternativa o 'ha' esta empregado corretamente?,Ha dois anos nao o via,A dois anos nao o via,Ha dois anos atras,A ha dois anos,Havera dois anos que,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
67,Portugues,Interpretacao,A funcao da linguagem predominante em um poema lirico e:,Poetica (estetica),Referencial,Fatica,Apelativa,Metalinguistica,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
68,Portugues,Interpretacao,Em 'Pedro chegou cedo; porem estava cansado' a conjuncao 'porem' indica:,Adversidade,Causa,Conclusao,Explicacao,Aditiva,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
69,Portugues,Interpretacao,O texto 'Instrucoes de uso: coloque o produto na agua e aguarde' usa predominantemente a linguagem:,Injuntiva,Narrativa,Descritiva,Poetica,Argumentativa,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
70,Portugues,Interpretacao,O termo 'entretanto' em um texto indica relacao de:,Adversidade,Causalidade,Conclusao,Aditiva,Condicao,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
71,Portugues,Interpretacao,A expressao 'passar a perna em alguem' e um exemplo de:,Expressao idiomatica,Metafora,Comparacao,Hiperbole,Ironia,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
72,Portugues,Interpretacao,Assinale o genero textual de carater instrucional:,Manual de instrucoes,Cronica,Poema,Conto,Editorial,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
73,Portugues,Gramatica,Assinale a frase com concordancia verbal CORRETA:,Todos os alunos estudaram para a prova,Todos os alunos estudou para a prova,Nenhum dos alunos estudaram,Os meninos foi ao parque,As crianca brincou muito,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
74,Portugues,Gramatica,Assinale a alternativa com uso correto de crase:,Fui a escola publica,Fui a sabado,Refiro-me a ele,Entregamos o relatorio a diretora,Vou a pe,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
75,Portugues,Gramatica,A forma verbal 'amassemos' esta no modo:,Subjuntivo,Indicativo,Imperativo,Infinitivo,Condicional,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
76,Portugues,Gramatica,Assinale a alternativa com regencia verbal CORRETA:,Precisamos de ajuda urgente,Chegamos em casa cedo,Visamos o sucesso,Assistimos o filme,Obedecemos a lei,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
77,Portugues,Gramatica,Em qual alternativa a palavra esta escrita INCORRETAMENTE:,Excessao,Excecao,Espetaculo,Extraordinario,Espectador,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
78,Portugues,Gramatica,O adjetivo 'feliz' forma o superlativo absoluto sintetico:,felicissimo,muito feliz,o mais feliz,bastante feliz,felizmente,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
79,Portugues,Gramatica,A classe gramatical da palavra 'entretanto' e:,Conjuncao,Preposicao,Adverbio,Pronome,Substantivo,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
80,Portugues,Gramatica,Assinale o emprego CORRETO do 'por que':,Por que voce nao veio?,Essa e a razao porquê estudei,Nao sei porque fez isso,Por isso portanto foi,Portanto porque so,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
81,Portugues,Gramatica,Em 'Quero que voce venha' o modo do verbo 'venha' e:,Subjuntivo,Indicativo,Imperativo,Infinitivo,Participo,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
82,Portugues,Gramatica,O processo de formacao da palavra 'deslealdade' e:,Derivacao prefixal e sufixal,Composicao,Derivacao regressiva,Abreviacao,Onomatopeia,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
83,Portugues,Gramatica,A funcao sintatica de 'livros' em 'Comprei livros novos' e:,Objeto direto,Sujeito,Predicativo,Adjunto adnominal,Complemento nominal,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
84,Portugues,Gramatica,Assinale a alternativa em que 'se' e particula apassivadora:,Vendem-se casas neste bairro,Machucou-se ao cair,Ela se penteou,Eles se abraçaram,Pode-se entrar,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
85,Portugues,Gramatica,Qual das alternativas apresenta um substantivo coletivo?,Alcateia (de lobos),Corrida (de cavalos),Migrar (de passaros),Latir (de caes),Rugir (de leoes),A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
86,Portugues,Gramatica,O prefixo de sentido negativo esta presente em:,Infeliz,Subnutrido,Refazer,Transgredir,Predizer,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
87,Portugues,Literatura,O Modernismo brasileiro iniciou-se com:,Semana de Arte Moderna de 1922,Publicacao de Iracema,Abolicao da escravatura,Publicacao de Os Lusíadas,Proclamacao da Republica,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
88,Portugues,Literatura,O movimento literario que valorizou o indio brasileiro como heroi nacional foi o:,Romantismo,Barroco,Realismo,Modernismo,Classicismo,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
89,Portugues,Literatura,'Dom Casmurro' de Machado de Assis pertence ao movimento literario:,Realismo,Romantismo,Modernismo,Barroco,Naturalismo,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
90,Portugues,Literatura,Guimaraes Rosa e o autor de:,Grande Sertao: Veredas,O Cortico,Memorias Postumas de Bras Cubas,Iracema,Vidas Secas,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
91,Portugues,Literatura,O poema 'Os Lusíadas' de Luis de Camoes pertence ao:,Classicismo portugues,Barroco,Romantismo,Modernismo,Renascimento brasileiro,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
92,Portugues,Literatura,O autor de 'Vidas Secas' que retratou a seca e o sofrimento do nordestino e:,Graciliano Ramos,Jorge Amado,Guimaraes Rosa,Jose de Alencar,Erico Verissimo,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
93,Portugues,Literatura,'Iracema' de Jose de Alencar e um exemplo de romance:,Indianista,Realista,Naturalista,Barroco,Moderno,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
94,Portugues,Literatura,O Realismo/Naturalismo brasileiro iniciou-se com a publicacao de:,O Mulato de Alui­sio Azevedo,Dom Casmurro,Iracema,Cantos de Ossian,O Cortico,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
95,Portugues,Literatura,Carlos Drummond de Andrade pertence a qual geracao modernista?,Segunda geracao (1930),Primeira geracao (1922),Terceira geracao (1945),Pre-modernismo,Pos-modernismo,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
96,Portugues,Literatura,A caracteristica principal do Barroco literario e o(a):,Conflito entre espirito e materia,Valorizacao da natureza,Exaltacao do heroi nacional,Ruptura com as tradicoes,Racionalismo extremo,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
97,Portugues,Literatura,Padre Antonio Vieira foi um grande representante do Barroco brasileiro. Sua obra mais conhecida e:,Sermao da Sexagesima,Iracema,Dom Casmurro,Grande Sertao,O Cortico,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
98,Portugues,Literatura,A obra 'Memorias Postumas de Bras Cubas' de Machado de Assis tem como narracao:,Narrador em primeira pessoa (defunto-autor),Narrador onisciente em terceira pessoa,Narrador observador,Narrador testemunha,Narrador multiplo,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
99,Portugues,Literatura,Jorge Amado e o autor de 'Gabriela Cravo e Canela'. Ele pertence ao:,Modernismo (2a geracao),Realismo,Romantismo,Pre-modernismo,Pos-modernismo,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
100,Portugues,Literatura,A Semana de Arte Moderna de 1922 aconteceu na cidade de:,Sao Paulo,Rio de Janeiro,Salvador,Recife,Belo Horizonte,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
101,Portugues,Figuras de Linguagem,A figura de linguagem presente em 'O vento correu atras das nuvens' e:,Prosopopeia,Metafora,Comparacao,Hiperbole,Ironia,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
102,Portugues,Figuras de Linguagem,Em 'Ela e um anjo' a figura de linguagem empregada e:,Metafora,Comparacao,Hiperbole,Personificacao,Sinestesia,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
103,Portugues,Figuras de Linguagem,A expressao 'Ela tem um coracao de pedra' apresenta:,Metafora,Comparacao,Antitese,Eufemismo,Pleonasmo,A,1,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
104,Portugues,Figuras de Linguagem,A frase 'Brando e o leao' ao referir-se a uma pessoa feroz usa:,Antifrase (ironia),Metafora,Hiperbole,Elipse,Sinedoque,A,5,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
105,Portugues,Figuras de Linguagem,Em 'Li Machado de Assis' ao inves de 'Li as obras de Machado de Assis' temos:,Metonimia,Metafora,Hiperbole,Comparacao,Eufemismo,A,4,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
106,Portugues,Figuras de Linguagem,'Viver sem te ver e uma agonia sem fim' apresenta:,Hiperbole,Antitese,Comparacao,Metafora,Ironia,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
107,Portugues,Figuras de Linguagem,Em 'O silencio gritou na sala vazia' ha a figura de linguagem:,Antitese,Paradoxo,Comparacao,Hiperbole,Metafora,A,4,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
108,Portugues,Pontuacao,Em qual das alternativas o uso do ponto-e-virgula esta CORRETO?,Estudei muito; logo passei na prova.,Ela foi; e comprou frutas.,Hoje; esta calor.,Preciso; de ajuda.,Ontem; fui ao parque.,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
109,Portugues,Ortografia,Assinale a palavra grafada CORRETAMENTE:,Beneficente,Benefiscente,Beneficiente,Benefisente,Beneficiante,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
110,Portugues,Ortografia,Assinale a palavra grafada INCORRETAMENTE:,Espetaculo,Excecao,Excessao,Extraordinario,Espectador,C,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
111,Portugues,Morfologia,A palavra 'desumanizacao' e formada por:,Derivacao prefixal e sufixal,Composicao por justaposicao,Derivacao regressiva,Composicao por aglutinacao,Abreviacao,A,4,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
112,Portugues,Morfologia,Qual das palavras abaixo e um adverbio?,Rapidamente,Rapido,Rapidez,Rapidissimo,Rapida,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
113,Portugues,Morfologia,O processo de formacao da palavra 'guarda-chuva' e:,Composicao por justaposicao,Derivacao sufixal,Derivacao prefixal,Composicao por aglutinacao,Abreviacao,A,3,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
114,Portugues,Morfologia,A classe gramatical da palavra 'porem' em 'Estudei muito; porem nao passei' e:,Conjuncao adversativa,Substantivo,Adverbio,Pronome,Preposicao,A,2,enem;uerj;espcex;efomm;epcar;cbmerj;colegio_naval
115,Fisica,Cinematica,Um carro percorre 180 km em 2 horas. Sua velocidade media e:,90 km/h,360 km/h,45 km/h,60 km/h,180 km/h,A,1,enem;uerj;espcex;efomm;epcar
116,Fisica,Cinematica,Um objeto em queda livre parte do repouso. Apos 3 s sua velocidade e (g = 10 m/s²):,30 m/s,15 m/s,10 m/s,90 m/s,3 m/s,A,2,enem;uerj;espcex;efomm;epcar
117,Fisica,Cinematica,Um movel em MRU percorre 240 m em 8 s. Sua velocidade e:,30 m/s,60 m/s,15 m/s,120 m/s,20 m/s,A,1,enem;uerj;espcex;efomm;epcar
118,Fisica,Cinematica,Um trem parte do repouso com aceleracao de 2 m/s². Apos 5 s sua velocidade e:,10 m/s,7 m/s,20 m/s,5 m/s,15 m/s,A,2,enem;uerj;espcex;efomm;epcar
119,Fisica,Cinematica,Um corpo em MRUV com v0=0 e a=4 m/s² percorre em 3 s a distancia:,18 m,36 m,12 m,6 m,24 m,A,3,enem;uerj;espcex;efomm;epcar
120,Fisica,Cinematica,Dois trens se aproximam em trilhos paralelos. Um a 60 km/h e outro a 80 km/h. A velocidade relativa entre eles e:,140 km/h,20 km/h,70 km/h,100 km/h,60 km/h,A,3,enem;uerj;espcex;efomm;epcar
121,Fisica,Cinematica,Um carro freia de 72 km/h ate parar com desaceleracao de 5 m/s². O espaco percorrido no frenamento e:,40 m,20 m,72 m,10 m,36 m,A,4,enem;uerj;espcex;efomm;epcar
122,Fisica,Dinamica,Um bloco de 5 kg e submetido a uma forca de 20 N. Sua aceleracao e (despreze o atrito):,4 m/s²,100 m/s²,25 m/s²,0,4 N,A,2,enem;uerj;espcex;efomm;epcar
123,Fisica,Dinamica,O peso de um objeto de massa 8 kg na Terra e (g = 10 m/s²):,80 N,8 N,800 N,0.8 N,8 kg,A,1,enem;uerj;espcex;efomm;epcar
124,Fisica,Dinamica,A terceira lei de Newton (acao e reacao) afirma que:,Toda acao tem reacao igual e contraria,F = m.a,Um corpo em repouso tende a ficar em repouso,Forca e igual a pressao vezes area,Energia se conserva,A,2,enem;uerj;espcex;efomm;epcar
125,Fisica,Dinamica,Um corpo de 2 kg e lançado verticalmente para cima com v=20 m/s. A altura maxima atingida e (g=10):,20 m,40 m,10 m,200 m,4 m,A,3,enem;uerj;espcex;efomm;epcar
126,Fisica,Dinamica,O trabalho realizado por uma forca de 50 N ao deslocar um objeto 4 m na direcao da forca e:,200 J,50 J,800 J,100 J,400 J,A,2,enem;uerj;espcex;efomm;epcar
127,Fisica,Dinamica,A potencia de um motor que realiza 6000 J de trabalho em 20 s e:,300 W,300 J,120000 W,6020 W,200 W,A,1,enem;uerj;espcex;efomm;epcar
128,Fisica,Termodinamica,A temperatura de 27°C em Kelvin e:,300 K,27 K,246 K,373 K,273 K,A,2,enem;uerj;espcex;efomm;epcar
129,Fisica,Termodinamica,A temperatura de 100°C em Fahrenheit e:,212°F,100°F,373°F,180°F,132°F,A,3,enem;uerj;espcex;efomm;epcar
130,Fisica,Termodinamica,O calor especifico da agua e 1 cal/g°C. O calor necessario para aquecer 200 g de agua de 20°C a 70°C e:,10000 cal,50000 cal,200 cal,14000 cal,1000 cal,A,3,enem;uerj;espcex;efomm;epcar
131,Fisica,Termodinamica,O processo de transmissao de calor por contato direto entre moleculas e denominado:,Conducao,Conveccao,Irradiacao,Expansao,Sublimacao,A,1,enem;uerj;espcex;efomm;epcar
